experiment_id,learning_rate,weight_decay,label_smoothing,batch_size,best_val_accuracy,test_accuracy,final_train_loss,epochs_trained,optimizer,log_file
1,1e-05,0.0,0.0,4,49.26,49.84,1.4220917389776973,41,Adam,logs/task3/exp_01_lr1e-05_wd0_ls0_bs4.log
2,1e-05,0.0,0.0,16,42.6,43.65,1.5788704101360442,41,Adam,logs/task3/exp_02_lr1e-05_wd0_ls0_bs16.log
3,1e-05,0.0,0.0,64,39.98,40.35,1.6837612424384465,48,Adam,logs/task3/exp_03_lr1e-05_wd0_ls0_bs64.log
4,1e-05,0.0,0.01,4,50.78,50.690000000000005,1.4162942999667592,44,Adam,logs/task3/exp_04_lr1e-05_wd0_ls0.01_bs4.log
5,1e-05,0.0,0.01,16,45.08,44.879999999999995,1.5546936357398495,60,Adam,logs/task3/exp_05_lr1e-05_wd0_ls0.01_bs16.log
6,1e-05,0.0,0.01,64,39.4,39.48,1.719674420797012,57,Adam,logs/task3/exp_06_lr1e-05_wd0_ls0.01_bs64.log
7,1e-05,0.0,0.1,4,50.74,50.68,1.5919272166834937,42,Adam,logs/task3/exp_07_lr1e-05_wd0_ls0.1_bs4.log
8,1e-05,0.0,0.1,16,45.48,44.86,1.7030537680209934,37,Adam,logs/task3/exp_08_lr1e-05_wd0_ls0.1_bs16.log
9,1e-05,0.0,0.1,64,40.24,40.42,1.8091697469353676,40,Adam,logs/task3/exp_09_lr1e-05_wd0_ls0.1_bs64.log
10,1e-05,1e-05,0.0,4,50.74,49.69,1.4060808815850152,44,Adam,logs/task3/exp_10_lr1e-05_wd1e-05_ls0_bs4.log
11,1e-05,1e-05,0.0,16,45.26,45.22,1.5374517123808524,41,Adam,logs/task3/exp_11_lr1e-05_wd1e-05_ls0_bs16.log
12,1e-05,1e-05,0.0,64,38.78,39.24,1.6919372825121337,42,Adam,logs/task3/exp_12_lr1e-05_wd1e-05_ls0_bs64.log
13,1e-05,1e-05,0.01,4,49.82,50.529999999999994,1.42264605069028,38,Adam,logs/task3/exp_13_lr1e-05_wd1e-05_ls0.01_bs4.log
14,1e-05,1e-05,0.01,16,46.0,45.72,1.5380328494248932,38,Adam,logs/task3/exp_14_lr1e-05_wd1e-05_ls0.01_bs16.log
15,1e-05,1e-05,0.01,64,41.22,41.49,1.6501022760163655,60,Adam,logs/task3/exp_15_lr1e-05_wd1e-05_ls0.01_bs64.log
16,1e-05,1e-05,0.1,4,49.48,50.07,1.6069701355086432,37,Adam,logs/task3/exp_16_lr1e-05_wd1e-05_ls0.1_bs4.log
17,1e-05,1e-05,0.1,16,44.92,45.4,1.699785837998307,37,Adam,logs/task3/exp_17_lr1e-05_wd1e-05_ls0.1_bs16.log
18,1e-05,1e-05,0.1,64,38.12,38.51,1.8418017576702617,60,Adam,logs/task3/exp_18_lr1e-05_wd1e-05_ls0.1_bs64.log
19,1e-05,0.0001,0.0,4,49.5,48.870000000000005,1.418464380909337,53,Adam,logs/task3/exp_19_lr1e-05_wd0.0001_ls0_bs4.log
20,1e-05,0.0001,0.0,16,44.22,44.9,1.5606794598430576,38,Adam,logs/task3/exp_20_lr1e-05_wd0.0001_ls0_bs16.log
21,1e-05,0.0001,0.0,64,39.48,39.94,1.68759184720164,38,Adam,logs/task3/exp_21_lr1e-05_wd0.0001_ls0_bs64.log
22,1e-05,0.0001,0.01,4,49.24,49.95,1.4513101296742756,40,Adam,logs/task3/exp_22_lr1e-05_wd0.0001_ls0.01_bs4.log
23,1e-05,0.0001,0.01,16,45.72,46.25,1.5232096913655033,40,Adam,logs/task3/exp_23_lr1e-05_wd0.0001_ls0.01_bs16.log
24,1e-05,0.0001,0.01,64,39.16,39.83,1.707270519469272,60,Adam,logs/task3/exp_24_lr1e-05_wd0.0001_ls0.01_bs64.log
25,1e-05,0.0001,0.1,4,51.5,50.970000000000006,1.5882015620443557,60,Adam,logs/task3/exp_25_lr1e-05_wd0.0001_ls0.1_bs4.log
26,1e-05,0.0001,0.1,16,45.68,44.92,1.7058235427640827,40,Adam,logs/task3/exp_26_lr1e-05_wd0.0001_ls0.1_bs16.log
27,1e-05,0.0001,0.1,64,38.78,38.519999999999996,1.8471383845264262,60,Adam,logs/task3/exp_27_lr1e-05_wd0.0001_ls0.1_bs64.log
28,0.0001,0.0,0.0,4,64.86,65.69,0.8334922748838448,49,Adam,logs/task3/exp_28_lr0.0001_wd0_ls0_bs4.log
29,0.0001,0.0,0.0,16,62.0,61.95,1.0193100141495774,41,Adam,logs/task3/exp_29_lr0.0001_wd0_ls0_bs16.log
30,0.0001,0.0,0.0,64,56.54,56.34,1.2110023267397827,56,Adam,logs/task3/exp_30_lr0.0001_wd0_ls0_bs64.log
31,0.0001,0.0,0.01,4,65.86,66.0,0.8482296316299174,42,Adam,logs/task3/exp_31_lr0.0001_wd0_ls0.01_bs4.log
32,0.0001,0.0,0.01,16,62.62,62.12,1.043004503421329,49,Adam,logs/task3/exp_32_lr0.0001_wd0_ls0.01_bs16.log
33,0.0001,0.0,0.01,64,56.6,55.81,1.2559622583741492,39,Adam,logs/task3/exp_33_lr0.0001_wd0_ls0.01_bs64.log
34,0.0001,0.0,0.1,4,67.6,67.75,1.093672844452328,36,Adam,logs/task3/exp_34_lr0.0001_wd0_ls0.1_bs4.log
35,0.0001,0.0,0.1,16,61.66,61.94,1.291514877106768,44,Adam,logs/task3/exp_35_lr0.0001_wd0_ls0.1_bs16.log
36,0.0001,0.0,0.1,64,57.04,57.43000000000001,1.4381946249103004,39,Adam,logs/task3/exp_36_lr0.0001_wd0_ls0.1_bs64.log
37,0.0001,1e-05,0.0,4,67.44,66.75,0.7899874202096292,39,Adam,logs/task3/exp_37_lr0.0001_wd1e-05_ls0_bs4.log
